Code,Name,Close,Location,Industry,List_date,EPS_2018,EPS_2017,EPS_2016,EPS_2015,EPS_2014,EPS_2013,EPS_2012,EPS_2011,EPS_2010,EPS_2009,EPS_2008,EPS_2007,EPS_2006,Profit,AVG_EPS_2016_18,AVG_EPS_2011_13,Net_Asset,Div,Dividend,PE1618,Div_Rate,Growth,Liquidate_Ratio,Assest_Over_Debt,PB,Mkt_value,
000582.SZ,北部湾港,9.15,广西,交通运输,1995/11/2,0.46,0.437,0.473,0.442,0.717,0.7,0.291,0.276,0.281,0.31,0.13,0.01,0,1,0.456666667,0.422333333,5.6322,是,1,20.03649635,28.78577807,0.081294396,77.05%,1.850960113,1.624587195,14400974484,
000585.SZ,*ST 东电,1.57,海南,电气设备,1995/12/13,0.02,-0.45,-0.1139,0.01,0.01,0.01,0.01,-0.04,-0.01,0.01,-0.08,-0.36,0,0,-0.1813,-0.006666667,0.0099,-,0,10000,0,26.195,39.93%,4.810057733,158.5858586,1598267100,
000586.SZ,汇源通信,10.91,四川,通信,1995/12/20,-0.015,0.004,0.02,0.09,0.04,0.08,0.03,0.1,0.29,0.01,-0.62,-0.279,0,0,0.003,0.07,1.2136,-,0,3636.666667,0,-0.957142857,169.03%,-2.831282084,8.989782465,1905384000,
000587.SZ,金洲慈航,1.53,黑龙江,轻工制造,1996/4/25,-1.45,0.48,0.96,0.46,0.26,0.26,0.32,0.98,-0.85,0.05,-0.931,0.063,0,0,-0.003333333,0.52,3.0958,-,0,10000,0,-1.006410256,92.49%,0.356393432,0.494217973,3759036314,
000589.SZ,黔轮胎Ａ,3.99,贵州,化工,1996/3/8,0.11,-0.29,0.0196,-0.33,0.24,0.36,0.26,0.2,0.49,1.42,0.2,0.34,0,0,-0.053466667,0.273333333,4.3887,-,0,10000,0,-1.195609756,82.92%,0.727380451,0.909153052,3342251150,
000590.SZ,启迪古汉,10.07,湖南,医药生物,1996/1/19,-0.1594,0.0824,0.2471,0.1002,-0.3841,-0.7364,0.6162,0.3553,0.2323,-0.4343,0.1,0.1011,0,0,0.0567,0.078366667,2.4208,-,0,177.6014109,0,-0.276478094,317.24%,-3.945502067,4.15978189,2689262328,
000591.SZ,太 阳 能,3.24,重庆,公用事业,1996/2/8,0.287,0.268,0.525,0.65,0.0141,0.1207,0.1107,0.0382,0.0888,0.1016,0.1098,0.164,0,1,0.36,0.089866667,4.234,是,1,9,36.27543783,3.005934718,118.04%,0.81485017,0.765233821,10284275269,
000592.SZ,平潭发展,2.41,福建,农林牧渔,1996/3/27,0.0136,0.0031,0.0105,0.044,0.0831,0.0513,0.0142,0.0155,0.1187,0.1063,0.095,1.285,0,1,0.009066667,0.027,1.6476,-,0,265.8088235,0,-0.664197531,433.73%,-3.658870413,1.462733673,5273761835,
000593.SZ,大通燃气,4.95,四川,公用事业,1996/3/12,-0.518,0.067,-0.169,0.05,0.061,0.18,0.07,0.23,0.027,0.319,0.01,0.02,0,0,-0.206666667,0.16,2.5715,-,0,10000,0,-2.291666667,203.77%,1.694215565,1.924946529,2212753326,
000595.SZ,宝塔实业,2.53,宁夏,机械设备,1996/4/19,-0.13,0.02,-0.11,-0.39,0.08,-0.54,0.04,0.03,-0.72,-0.5512,0.1,0.19,0,0,-0.073333333,-0.156666667,0.8174,-,0,10000,0,-0.531914894,102.73%,0.734115366,3.095179839,2598549450,
